,0,1,2,3,4,5,6,7
0,Name,Entity,Explanation,Notes,IDN,DNSSEC,SLD,IPv6
1,.ac,アセンション島,,広く学術的なサイト（大学など）のために用いられる。アセンション島はイギリス領であるが、イギリスの公式の学術的なサイトのためのドメイン .ac.uk とは別である。,Yes,Yes,Yes,Yes
2,.ad,アンドラ,,アンドラにおける商標または市民権が必要となる[6][7]。,,Yes,Yes,
3,.ae,アラブ首長国連邦,,,,No,Yes,
4,.af,アフガニスタン,,,,Yes,Yes,
5,.ag,アンティグア・バーブーダ,,AGがドイツの株式会社(Aktiengesellschaft)の略称であることから、非公式にドイツの企業で用いられる。,,Yes,Yes,
6,.ai,アンギラ,,,,No,Yes,
7,.al,アルバニア,,かつては市民権が必要だったが、今は必要ない。,,No,Yes,
8,.am,アルメニア,,非公式にAMラジオ局やWebラジオ局で使用されている。,No,Yes,Yes,Yes
9,.an,オランダ領アンティル,,現地に在住・存在している必要がある。オランダ領アンティルは2010年10月10日に解体された。,,No,Yes,
10,.ao,アンゴラ,,,,No,不明,
11,.aq,南極,Antarctique,南極条約により南緯60度以南と定義されている。南極条約の調印国である政府組織と、南極大陸に実際に存在している団体が利用できる。,,No,Yes,
12,.ar,アルゼンチン,,,スペイン語[cctld 1],Yes,No,Yes
13,.as,アメリカ領サモア,,非公式にスペインのアストゥリアス州関連のサイトも使用している。,Yes,No,Yes,
14,.at,オーストリア,,,,Yes,Yes,
15,.au,オーストラリア,,登録はオーストラリア人に限られ、最低2年間は登録を維持しなければならない[8]。アシュモア・カルティエ諸島と珊瑚海諸島を含む。,,Yes,No,
16,.aw,アルバ,"Aruba, West Indies",アルバの企業・団体・市民に限る。,,Yes,Yes,
17,.ax,オーランド諸島,,オーランドの企業・団体・市民に限る。,,No,Yes,
18,.az,アゼルバイジャン,,,,No,Yes,
19,.ba,ボスニア・ヘルツェゴビナ,,,,No,Yes,
20,.bb,バルバドス,,,,No,Yes,
21,.bd,バングラデシュ,,,Yes,No,Yes,
22,.be,ベルギー,,非公式にスイスのベルン州でも使用される。,ラテン文字[9],Yes,Yes,Yes[10]
23,.bf,ブルキナファソ,,,,No,Yes,
24,.bg,ブルガリア,,,ロシア語・ブルガリア語[9],Yes,Yes,
25,.bh,バーレーン,,,,No,Yes,
26,.bi,ブルンジ,,,,No,Yes,
27,.bj,ベナン,,,,No,Yes,
28,.bm,バミューダ諸島,,バミューダに登記のある団体・会社に限る。,,No,Yes,
29,.bn,ブルネイ,,,,No,No,
30,.bo,ボリビア,,,,No,Yes,
31,.bq,ボネール島,,2015年12月1日に割り当て取消,,,,
32,.br,ブラジル,,制限あり。第3レベル以下しか使用できない。（例: .edu.brは高等教育機関用、.gov.brは政府機関用。）[11],Yes[12],Yes,No[cctld 2],
33,.bs,バハマ,,,,No,Yes,
34,.bt,ブータン,,,,No,No,
35,.bv,ブーベ島,,未使用（ノルウェー領。.noを参照。）,No,No,No,
36,.bw,ボツワナ,,,,No,Yes,
37,.by,ベラルーシ,Byelorussia,非公式にドイツのバイエルン州でも使用されている。,,Yes,Yes,
38,.bz,ベリーズ,,,,Yes,Yes,
39,.ca,カナダ,,レジストラが定めた条件を満たさなければならない[13]。,フランス語[cctld 3],Yes,Yes,
40,.cc,ココス諸島,,"オーストラリア領。グアムのココス諸島ではない。cc.cc, cu.cc or cz.ccで無料ドメインサービスが提供されている。",,Yes,Yes,
41,.cd,コンゴ民主共和国,,,,No,Yes,
42,.cf,中央アフリカ共和国,,無料ドメインサービスが提供されている。,,No,Yes,
43,.cg,コンゴ共和国,,,,No,Yes,
44,.ch,スイス,Confoederatio Helvetica （ラテン語）,,Yes[cctld 4],Yes,Yes,
45,.ci,コートジボワール,,,,No,Yes,
46,.ck,クック諸島,,,,No,Yes,
47,.cl,チリ,,,Yes,Yes,Yes,Yes
48,.cm,カメルーン,,カメルーンの企業・団体・市民に限る。,,No,Yes,
49,.cn,中国,,中国に登記のある団体・会社、および有効な身分証を有する個人に限る。香港とマカオには別のTLDが付与されている。,,Yes,Yes,
50,.co,コロンビア,,2010年より国際的なドメインとして全世界に販売される。,,Yes,Yes,
51,.cr,コスタリカ,,,,Yes,Yes,
52,.cu,キューバ,,,,No,Yes,
53,.cv,カーボベルデ,,,,No,Yes,
54,.cw,キュラソー島,"Curaçao, West Indies",,,No,不明,
55,.cx,クリスマス島,,,,Yes,Yes,
56,.cy,キプロス,,,,No,No,
57,.cz,チェコ,,,No[cctld 5],Yes,Yes,
58,.de,ドイツ,Deutschland,ドイツ国内の連絡先が必要。,Yes[cctld 6],Yes,Yes,Yes
59,.dj,ジブチ,,,,No,Yes,
60,.dk,デンマーク,,,Yes[cctld 7],Yes,Yes,
61,.dm,ドミニカ国,,,,No,Yes,
62,.do,ドミニカ共和国,,,,No,Yes,
63,.dz,アルジェリア,Dzayer より。当地のアラビア語では Al-Jazair الجزائر という。,,,No,Yes,
64,.ec,エクアドル,,,,No,Yes,
65,.ee,エストニア,Eesti,,Yes[cctld 8],Yes,Yes,
66,.eg,エジプト,,,,No,Yes,
67,.eh,西サハラ,Saguia el-Hamra,.eh は西サハラのために予約されているが、まだDNSルートサーバには登録されていない。,,,,
68,.er,エリトリア,,非活発。レジストラであるエリトリア電気通信（EriTel）はドメイン登録を受け付けていない。,,No,No,
69,.es,スペイン,España,,,Yes,Yes,
70,.et,エチオピア,,,,No,No,
71,.eu,欧州連合,,欧州連合加盟国の法人および自然人に限る。かつては非公式にバスク語のサイトで使用されていたが、現在は正式に.eusドメインに移行している。,Yes[cctld 9],Yes,Yes,Yes[15]
72,.fi,フィンランド,,フィンランドの法人および自然人に限る。,Yes[cctld 10],Yes,Yes,
73,.fj,フィジー,,,,No,Yes,
74,.fk,フォークランド諸島,,,,No,No,
75,.fm,ミクロネシア連邦,,非公式にFMラジオ局やWebラジオ局で使用されている。,,No,Yes,
76,.fo,フェロー諸島,Føroyar,,,Yes,Yes,
77,.fr,フランス,,欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes[cctld 12],Yes,Yes,
78,.ga,ガボン,,無料ドメインサービスが提供されている。,,No,Yes,
79,.gb,イギリス,Great Britain,あまり使われていない[16]。イギリスで主に使われているドメインは.ukである。,,No,No,
80,.gd,グレナダ,,,,Yes,Yes,
81,.ge,ジョージア,,ジョージアの居住者には無制限。外国の会社に対しては、いかなるジョージアの法人を通してでも1法人につき1ドメイン。[17],No,No,Yes,
82,.gf,フランス領ギアナ,Guyane française,,,No,,
83,.gg,ガーンジー島,Guernsey / Guernesey,,,No,Yes,
84,.gh,ガーナ,,,,No,No,
85,.gi,ジブラルタル,,,,Yes,Yes,
86,.gl,グリーンランド,,かつては非公式にスペインのガリシア州で使用されていたが、2014年に.galが割り当てられたため、そちらに移行した。,,Yes,Yes,
87,.gm,ガンビア,,登録者の名前または商標名と一致するドメイン名しか取得できない。一般名詞は使用できない。,,No,Yes,
88,.gn,ギニア,,国内の連絡先が必要。,,Yes,No,
89,.gp,グアドループ,,現在でも、サン・マルタン島及びサン・バルテルミー島で使用されている。,,No,Yes,
